Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Exclusivity.perceptual,Exclusivity.action,Exclusivity.sensorimotor,Modality
abomination,1.75,0.05,0.35,1.35,0.15,3.2,0.65,1.05,2.8,1.2,0.75,0.46,0.333,0.237,Visual
aboriginal,2.588,0.059,0.176,0.059,0.294,3.824,0.353,0.412,2.118,0.529,0.412,0.538,0.462,0.348,Visual
abort,2.062,0,0.375,1.5,0,2.812,0.81,1.333,1.524,0.81,0.762,0.417,0.145,0.235,Visual
aborted,1.632,0.526,0.895,1.263,0.579,3,0.933,1.867,1.867,1.267,1.4,0.313,0.127,0.162,Visual
abortion,0.824,0.059,0.706,2.471,0.118,2.235,1.143,1.333,1.762,0.476,2.619,0.376,0.292,0.186,Interoceptive
abortionist,1.667,0,0.444,0.667,0,2.722,0.444,1.611,1.556,0.667,0.889,0.495,0.226,0.255,Visual
abortive,1.571,0,0.143,0.5,0,2.214,0.474,0.579,1.263,0.684,0.947,0.5,0.2,0.264,Visual
abortively,1.267,0,0.267,0.867,0,1.733,0.706,1.176,1.529,0.941,0.824,0.419,0.159,0.186,Visual
abound,0.312,0.25,0.25,0.625,0.188,1.5,1.3,1.1,1.7,0.8,0.65,0.42,0.189,0.174,Visual
abounding,0.562,0.375,0.5,0.625,0.062,1.688,0.375,1,2,0.875,0.438,0.426,0.347,0.228,Visual
about,1.438,0,0.125,0.438,0,1.188,0.118,0.118,1.941,0.294,0.059,0.451,0.744,0.34,Auditory
above,0.294,0,0.471,0.824,0,3.235,1.048,1.857,2.667,0.619,1.143,0.671,0.279,0.266,Visual
above all,0.55,0,0.55,1.05,0,1,1.059,1.353,2.235,1.765,1.118,0.333,0.156,0.209,Interoceptive
aboveboard,2.176,0.118,0.176,1.294,0.235,3.235,0.267,0.667,2.4,1.467,0.333,0.431,0.416,0.252,Visual
aboveground,1.15,0,0.75,0.45,0.45,4.4,2.143,2.095,3.19,1.095,2.095,0.611,0.197,0.247,Visual
abovementioned,1.333,0.067,0.2,0.067,0.133,2.067,0.095,0.905,1.619,1.333,0.19,0.517,0.368,0.25,Visual
abracadabra,1.857,0,0,0.357,0,1.071,0.059,1.588,1.765,2.235,0.118,0.565,0.378,0.247,Auditory
abrasion,0.706,0.176,3.294,1.647,0,2.412,1.882,2.941,1.941,0.647,1.176,0.4,0.267,0.196,Haptic
abrasive,1.333,0.467,4.267,0.8,0.4,2,2.316,4.368,1.842,1.947,1.526,0.417,0.237,0.187,Haptic
abrasively,1.882,0,3.118,1.059,0,1.588,0.722,1.611,1.611,1.944,0.444,0.408,0.237,0.223,Haptic
abrasiveness,2.05,0.35,3.65,1.55,0.05,2,1.368,2.579,3.053,1.789,1.158,0.373,0.19,0.184,Haptic
abreast,0.333,0,0.733,0.467,0,3.133,1.625,1.875,1.688,1.062,2.375,0.671,0.152,0.236,Visual
abridge,1.417,0.25,0.333,0.333,0.25,1.75,0.211,0.632,2.053,1.053,0.211,0.346,0.443,0.217,Visual
abridged,1.333,0,0.333,0.133,0,2.467,0.25,0.562,2.062,0.25,0.438,0.578,0.509,0.315,Visual
abridgment,0.846,0.231,0.538,0.538,0.308,2.154,0.214,0.286,2,0.571,0,0.417,0.651,0.28,Visual
abroad,1.684,0.789,0.842,0.684,0.947,2.842,2.389,2.167,3.278,2.222,1.944,0.277,0.111,0.131,Visual
abrupt,2.368,0,0.632,1.579,0,2,1.2,1,1.8,1.65,1.1,0.36,0.119,0.178,Auditory
