Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Exclusivity.perceptual,Exclusivity.action,Exclusivity.sensorimotor,Modality
defenseman,2.167,0,1.111,0.222,0.056,3.889,2.062,2.188,2,0.688,1.938,0.522,0.169,0.238,Visual
defensibility,0.8,0,0.067,1.533,0,1.667,1.579,1.895,1.368,1.053,0.947,0.41,0.138,0.174,Visual
defensible,1.556,0.111,0.778,1.444,0.167,2.944,1.15,1.3,1.95,1.9,1.2,0.405,0.107,0.195,Visual
defensibly,2.094,0,0.438,0.531,0,2.312,0.85,1.4,2.4,1.85,0.85,0.43,0.211,0.189,Visual
defensive,2.278,0,0.333,1.5,0.111,2.778,1.2,1.9,2.4,2.3,1.2,0.397,0.133,0.174,Visual
defensively,1.474,0,0.632,2,0,1.895,1.889,2.389,1.833,1.167,1.556,0.333,0.138,0.161,Interoceptive
defensiveness,2.278,0,0.333,1.944,0.056,2.556,1.684,2.842,3.158,2.895,1.737,0.357,0.12,0.162,Visual
defer,2.765,0.118,0.294,1.059,0.176,2.118,0.333,0.833,2.722,2,0.444,0.405,0.377,0.206,Auditory
deference,2.071,0.286,0.429,1,0.214,2.286,0.389,0.667,2.222,1.222,0.333,0.33,0.391,0.186,Visual
deferential,2.429,0.214,0.571,0.929,0.286,2.214,0.5,0.5,2.05,0.85,0.6,0.333,0.344,0.199,Auditory
deferentially,1.818,0.091,0.455,1.818,0.273,2.727,0.667,1,1.6,1.4,0.667,0.367,0.175,0.211,Visual
deferment,0.857,0,0.286,0.5,0,2,0.176,0.588,1.235,0.824,0.118,0.549,0.38,0.304,Visual
deferral,3.167,0.083,0.583,1.417,0.083,3.167,0.429,0.333,1.762,1.143,0.286,0.363,0.373,0.248,Auditory
deferred,1.7,0,0.15,0.9,0,1.45,0.9,1.25,1.75,1.55,0.5,0.405,0.21,0.172,Auditory
defiance,2.3,0,0.15,1.5,0,2.6,1.316,1.526,3.263,2.789,1.053,0.397,0.222,0.198,Visual
defiant,3,0.059,0.412,1.941,0.294,2.765,1.1,1.3,2.95,2.3,1.2,0.347,0.209,0.17,Auditory
defiantly,1.722,0,0.222,2,0,2.389,1.053,1.263,2.474,1.947,1,0.377,0.19,0.176,Visual
defibrillate,1,0,1.35,1.15,0,1.7,0.278,2.5,2.056,0.5,2.611,0.327,0.294,0.199,Visual
defibrillation,1.5,0,1.571,1.643,0,2.571,0.353,2.235,1.529,0.471,2.588,0.353,0.311,0.179,Visual
defibrillator,2.471,0.176,2.706,2.059,0.235,3.824,0.333,1.2,0.667,0.4,2.267,0.318,0.397,0.223,Visual
deficiency,1.312,0.25,0.375,1.5,0.125,2.625,0.444,0.833,2.333,1.333,0.833,0.404,0.327,0.209,Visual
deficient,1.765,1,1.412,1.471,1,2.235,0.762,0.762,1.857,1.095,0.81,0.139,0.207,0.104,Visual
deficiently,1.154,0.077,0.385,0.846,0.154,2.077,0.421,1,2.105,1.211,0.579,0.426,0.317,0.203,Visual
deficit,1.611,0,0.389,0.5,0,3,0,0.722,1.889,0.722,0,0.545,0.567,0.34,Visual
defile,1.235,0.353,2,1.471,0.412,3.294,0.7,1.55,2.2,1.2,0.45,0.336,0.287,0.198,Visual
defiled,1.529,0.294,1.176,2.471,1,2.588,1,2.167,2.667,2.056,1.556,0.253,0.176,0.128,Visual
defilement,1.4,0.4,1.5,2.5,0.7,3.8,0.5,0.778,1.944,1.056,0.444,0.33,0.318,0.226,Visual
defiler,0.875,0.375,1.25,0.875,0.562,2.75,0.05,0.55,1.2,0.75,0.2,0.355,0.418,0.286,Visual
defiling,1.188,0.312,1.375,1.438,0.75,3,0.333,0.905,2.095,1.429,0.238,0.333,0.371,0.211,Visual
definability,1.571,0.429,0.571,0.714,0.5,1.857,0.333,0.722,2.778,1.611,0.556,0.253,0.407,0.21,Visual
definable,1.913,0.696,1.391,0.957,0.739,2.304,0.15,0.2,3.1,1.7,0.15,0.201,0.557,0.222,Visual
definably,2.538,0.615,1,1,0.615,2.308,0.125,0.25,2.062,1.875,0.125,0.238,0.437,0.193,Auditory
define,2.229,0.171,0.886,0.514,0.086,2.057,0.344,1.219,2.438,2.844,0.281,0.361,0.36,0.211,Auditory
defined,1.875,0.5,1,0.75,0.375,2.938,0.611,1.056,2.167,1.722,0.667,0.345,0.25,0.188,Visual
definite,2.826,0.696,1.391,1.87,0.652,3.043,0.833,0.958,2.708,1.875,0.667,0.228,0.29,0.136,Visual
definitely,1.889,0.278,0.722,1.111,0.222,2.167,0.105,0.474,1.368,1,0.263,0.304,0.393,0.215,Visual
definiteness,2.067,0,0.133,0.8,0,2,0.412,0.647,2.647,1.824,0.647,0.413,0.362,0.237,Auditory
definition,2.9,0.35,0.4,0.45,0.3,2.5,0.556,0.611,2.167,1.722,0.5,0.377,0.3,0.209,Auditory
definitional,2.846,0,0.154,0.615,0,0.923,0.25,0.438,1.938,0.938,0.125,0.627,0.492,0.346,Auditory
definitive,1.056,0.5,0.389,1.056,0.5,1.389,0.4,0.65,1.85,1.4,0.55,0.205,0.299,0.15,Visual
definitively,1.722,0.556,0.889,1.833,0.556,1.833,0.3,0.8,2.2,0.9,0.3,0.173,0.422,0.16,Interoceptive
definitiveness,2.273,0.152,0.485,1.394,0.152,2.515,1.118,1.412,3,2.235,1.235,0.339,0.209,0.178,Visual
deflate,2.375,0.25,1.438,0.688,0.375,3.062,0.944,3.111,2.111,1.389,0.611,0.344,0.306,0.175,Visual
deflation,2.05,0,1.45,0.45,0,3.6,0.737,1.526,2.211,1,1.158,0.477,0.222,0.254,Visual
deflator,1.235,0,0.765,0.294,0,2.176,0.588,1.882,1.588,0.706,0.471,0.487,0.27,0.224,Visual
deflect,2,0.263,1.632,0.737,0.263,3.053,0.941,2.529,2.235,1.706,0.471,0.351,0.261,0.176,Visual
deflectable,0.733,0,1.067,0.2,0,2.6,0.455,2.227,1.182,0.591,0.318,0.565,0.4,0.277,Visual
deflected,2.176,0.471,1.824,1,0.588,3.882,1.5,2.5,1.6,1.4,1.2,0.343,0.159,0.188,Visual
deflection,1,0.25,1.062,0.312,0.25,2.625,0.8,2.5,1.925,1.275,0.975,0.432,0.227,0.183,Visual
deflective,1,0,0.5,0.667,0,2.778,0.562,1.375,1.5,0.688,0.312,0.562,0.268,0.296,Visual
deflector,0.875,0,1,0.188,0,3.188,0.4,0.85,1.65,0.35,0.35,0.607,0.361,0.36,Visual
deflower,0.688,0,1.75,1.875,0,2.688,0.8,1.8,2.1,1.35,2.5,0.384,0.199,0.173,Visual
defog,0.056,0,0.667,0.167,0.056,3.889,0.3,2.6,2.45,0.6,0.55,0.805,0.354,0.343,Visual
defoliated,0.357,0,1.214,0.357,0.286,3.143,0.455,1.636,1.727,0.455,0.455,0.587,0.269,0.312,Visual
defoliation,0.583,0.333,1.25,0.667,0.417,3.917,0.8,2.2,1.4,0,0.6,0.5,0.44,0.322,Visual
deforest,0.973,0.027,0.297,0.189,0.135,3.541,0.579,1.895,0.895,0,0.316,0.681,0.514,0.4,Visual
deforestation,2.467,0.2,0.733,0.6,0.667,3.8,1.231,2,1.538,0.615,0.538,0.425,0.247,0.25,Visual
deform,0.632,0.158,2.053,1.053,0.211,4,0.857,2.143,2.048,1.095,0.81,0.474,0.192,0.255,Visual
deformation,0.556,0.056,2,0.778,0.056,3.722,0.333,1.111,2.611,0.667,0.444,0.512,0.441,0.297,Visual
deformed,0.158,0.263,2,0.579,0.632,4.368,2.263,2.316,2.579,1.421,2.053,0.526,0.109,0.226,Visual
deformity,0.368,0.053,1.526,1.421,0,3.474,1.368,1.632,1.789,1.211,1,0.508,0.113,0.251,Visual
defrag,0.867,0.2,0.333,0.467,0.2,2.6,0.125,0.875,1.188,0.5,0.188,0.514,0.37,0.328,Visual
defraud,1.75,0.25,0.25,1.35,0.15,2.65,0.476,0.905,2.19,2.571,0.238,0.391,0.366,0.196,Visual
defrauder,2.278,0,0.556,0.611,0.278,2.667,0.15,0.6,1.95,1.7,0.25,0.417,0.387,0.242,Visual
defray,1,0,0.615,0,0,2.538,0.533,0.933,1.133,1.067,0.533,0.611,0.143,0.304,Visual
defreeze,0.222,0.722,2.056,0.333,0.333,3.278,0.562,1.75,1,0.562,0.688,0.44,0.26,0.266,Visual
defrost,0.316,0.263,2.263,0.263,0.474,3.316,0.55,2.05,1.7,0.75,0.35,0.443,0.315,0.248,Visual
defroster,1.571,0.286,2.143,0.381,0.571,3.286,0.316,1.579,1.105,0.263,0.316,0.364,0.368,0.256,Visual
deftly,1.071,0.286,1.143,1.5,0.214,2.071,1.462,2.385,1.846,0.846,0.462,0.295,0.275,0.163,Visual
defunct,1.833,0.056,1.111,0.556,0.167,3.056,0.353,1.059,1.882,0.824,0.412,0.443,0.338,0.265,Visual
defuse,1.6,0,1.1,0.5,0.05,2.35,0.105,1.632,2.211,1.211,0.105,0.42,0.4,0.216,Visual
defy,2.95,0,0.45,1.35,0,3.1,0.952,1.333,2.048,2.524,0.857,0.395,0.216,0.199,Visual
degeneracy,2.429,0,0,0.643,0.071,3.214,1,1.158,2.579,1.316,0.947,0.506,0.233,0.241,Visual
degenerate,2.312,0.688,1.125,1.375,0.938,3.812,0.2,0.95,2.3,1.25,0.35,0.305,0.416,0.236,Visual
degenerateness,0.933,0,0.2,1.4,0,2.267,0.579,0.737,2.684,1.316,1.053,0.472,0.331,0.24,Visual
degeneration,1.333,0.056,0.778,1.778,0.222,3.278,0.55,0.75,2.1,0.75,0.6,0.433,0.326,0.264,Visual
degenerative,0.75,0,1.25,1.75,0,2.375,0.938,0.938,2.375,1.125,1.25,0.388,0.217,0.186,Visual
degradable,0.833,0.167,0.333,0.333,0.167,2.5,0.421,1.263,1.947,0.526,0.316,0.538,0.365,0.265,Visual
degradation,1.429,0.071,0.429,1.429,0.429,2.571,0.4,0.8,2.15,1.05,0.35,0.393,0.379,0.225,Visual
degrade,1.424,0.212,0.606,0.97,0.455,2.545,0.385,0.949,2.795,1.846,0.462,0.376,0.375,0.204,Visual
degraded,1.941,0.059,1.353,1.941,0.176,3.059,0.211,0.579,2.158,1.263,0.211,0.352,0.44,0.232,Visual
degradedly,0.846,0,0.154,1,0.077,2.077,0.389,0.944,2,0.833,0.222,0.5,0.405,0.243,Visual
degrader,3.143,0.571,1.143,1.929,0.429,2.357,0.444,0.667,1.889,2.167,0.333,0.284,0.333,0.186,Auditory
degrading,3.222,0.056,1.222,1.444,0.222,3.333,0.353,1.294,2.588,2.059,0.941,0.345,0.309,0.196,Visual
degradingly,2.514,0.086,0.886,2.486,0.371,2.743,0.211,0.368,2.316,1.053,0.316,0.292,0.494,0.199,Visual
degrease,0.167,0.111,2.389,0.056,0.667,2.833,0.571,2.619,1.571,0.381,0.286,0.446,0.43,0.238,Visual
degreaser,0.278,0,1.333,0,2,3,0.118,2.176,0.647,0.059,0.588,0.454,0.59,0.294,Visual
degree,1.25,0.792,1.75,1.292,0.667,2.083,0.684,1,3.053,0.895,0.632,0.181,0.387,0.172,Visual
dehorn,0.308,0,0.077,0.154,0.154,2.077,0.471,2.471,2.412,0.176,0.529,0.75,0.379,0.28,Visual
dehumanization,2.5,0.045,0.636,2.091,0.182,3.455,1.105,1.211,3.579,3.211,1.368,0.383,0.236,0.182,Visual
dehumanize,2.588,0.294,0.706,1.941,0.294,3.118,0.684,0.895,2.316,1.789,0.579,0.316,0.277,0.186,Visual
dehumidification,0.5,0.312,1.688,1.062,0.938,1.5,1,1.533,2.6,1.867,1.267,0.229,0.194,0.16,Haptic
dehumidifier,1.588,0.176,1.706,1.118,1.118,2.706,0.455,0.909,2.273,2.045,1.318,0.301,0.26,0.164,Visual
dehumidify,1.294,0.294,2.529,1.353,0.824,2.235,0.684,1.474,1.895,1.211,1.211,0.262,0.187,0.149,Haptic
dehydrate,0.474,0.632,0.632,2.737,0.789,1.526,0.526,1.105,1.789,3.211,1.263,0.333,0.34,0.186,Interoceptive
dehydration,0.529,1.529,1,4.588,0.294,1.588,1.333,1.333,2.619,3.714,2.524,0.451,0.207,0.204,Interoceptive
dehydrator,1.088,0.412,1.353,0.676,0.265,3.324,0.556,1.556,1.389,1.056,0.444,0.43,0.222,0.252,Visual
deign,1,0.278,0.444,1.111,0.278,1.389,0.438,0.5,2.562,1.5,0.375,0.247,0.407,0.231,Visual
deinstitutionalization,1.417,0,0.083,1.083,0.083,2.083,0.588,1.235,3.294,1.765,0.706,0.439,0.357,0.267,Visual
deity,0.812,0.125,0.312,1.875,0.062,1.125,0.556,0.556,3.333,0.667,0.722,0.42,0.476,0.322,Interoceptive
deject,1.923,0,0.154,1.538,0,2.154,0.5,0.75,2.15,1.95,0.45,0.373,0.293,0.186,Visual
dejected,2,0,0.688,2.875,0.062,2.125,0,0.056,3.056,0.667,0.667,0.371,0.688,0.251,Interoceptive
dejectedly,1.909,0,0,1.545,0,2.273,1,1,3,1.588,1.294,0.397,0.254,0.22,Visual
dejection,1.267,0,0.133,1.467,0,1.8,1,1,3,1.737,1.789,0.386,0.235,0.227,Visual
delay,1.944,0.167,0.611,1.222,0.222,2.556,0.476,0.524,2.762,0.762,0.286,0.355,0.515,0.225,Visual
delayed,1.75,0.2,0.7,0.95,0.95,2.25,0.7,0.8,1.1,0.65,0.6,0.301,0.13,0.192,Visual
delayer,1.643,0,0.214,0.464,0.107,1.929,1.033,1.2,1.767,0.967,0.533,0.443,0.224,0.196,Visual
delaying,2.059,0.235,0.824,1.412,0.235,2.353,1.9,2.15,2.45,2.1,1.45,0.298,0.1,0.129,Visual
delectability,1,4.235,0.824,1.647,2.529,2,0.389,1,2.167,3.111,0.556,0.279,0.377,0.198,Gustatory
delectable,0.222,3.889,0.778,0.944,1.944,2.278,0.111,0.722,1.611,3,0.333,0.365,0.5,0.239,Gustatory
delectableness,0.733,3.933,0.667,1.4,1,1.133,0.2,0.8,1.9,3.5,0.65,0.368,0.468,0.235,Gustatory
delectably,1,3.286,0.786,1.643,1.643,1.571,0,0.421,1.526,3.263,0.158,0.252,0.608,0.215,Gustatory
delegate,1.941,0,0.294,0.588,0,2.412,0.75,1.8,2.7,3.35,1,0.461,0.271,0.226,Visual
delegation,1.824,0.059,0.235,0.529,0.059,2.529,0.647,1.294,3.235,2.412,0.824,0.472,0.308,0.233,Visual
delegator,3,0.25,0.25,0.375,0.25,3.125,0.211,0.579,2.211,1.789,0.211,0.397,0.4,0.238,Visual
delete,0.684,0.316,0.579,0.474,0.316,2.368,0.1,2.2,1.25,0.4,0.05,0.433,0.538,0.265,Visual
deletion,0.263,0,0.211,0.158,0,2.789,0.2,0.85,1.5,0.3,0.15,0.815,0.45,0.434,Visual
deli,1.2,2.55,1,0.6,2.75,3.9,1.053,2.316,3,2.947,1.316,0.275,0.183,0.146,Visual
deliberate,2.55,0.2,0.5,1.55,0.15,2.65,0.684,1.316,3.421,2.211,0.737,0.329,0.327,0.205,Visual
deliberately,1.611,0,0.222,1,0.111,2.444,1.8,2.4,3.2,2.7,1.6,0.454,0.137,0.187,Visual
deliberateness,1.211,0,0.421,1.632,0,2.053,0.889,1.167,2.278,1.333,0.667,0.386,0.254,0.196,Visual
deliberation,1.867,0.733,0.8,2.467,0.667,1.533,0.263,0.368,3.947,1.789,0.368,0.223,0.547,0.249,Interoceptive
deliberative,1.6,0,0.067,0.467,0,1.533,0.6,1.1,2.75,2.2,0.7,0.436,0.293,0.25,Auditory
deliberatively,2.5,0.357,0.571,0.857,0.357,3.286,0.529,1.176,3.176,1.765,0.647,0.369,0.363,0.192,Visual
deliberator,3.211,0.421,0.632,1.316,0.474,2.842,0.316,0.421,2.053,1.158,0.158,0.314,0.462,0.235,Auditory
delicacy,0.923,3.885,1.885,1.885,3,3.192,0.368,1.632,2.211,3.421,0.263,0.201,0.4,0.16,Gustatory
delicate,0.842,0.526,3.526,1.263,0.263,3.158,1.421,3,2.105,1.368,1.158,0.341,0.203,0.175,Haptic
delicately,1.211,0.316,2.632,0.895,0.105,2.947,0.947,1.842,1.368,0.947,0.842,0.351,0.168,0.202,Visual
delicateness,0.833,0.889,3.556,1.056,0.778,3.333,1.238,3.095,2.714,1.524,1.095,0.266,0.207,0.138,Haptic
delicatessen,1.312,2.688,1.25,0.062,3.188,3.938,0.562,1.375,2.375,2.625,0.625,0.312,0.273,0.194,Visual
delicious,0.611,4.5,0.611,2.333,3.278,2.722,0.238,0.952,1.81,4.286,0.81,0.277,0.5,0.192,Gustatory
deliciously,0.444,4.278,0.056,1.167,2.5,1.667,0.25,0.55,2,3.2,0.4,0.418,0.461,0.256,Gustatory
deliciousness,0.944,4.889,0.722,1.889,2.111,1.944,0.095,0.667,2.286,4.524,0.81,0.333,0.528,0.23,Gustatory
delight,2.429,0.429,0.19,3.381,0.381,2.571,0.273,0.5,2.682,1.409,0.273,0.34,0.469,0.22,Interoceptive
delighted,1.857,0.667,0.476,3.762,0.429,2.619,1.053,1.263,3.526,1.737,1,0.34,0.294,0.181,Interoceptive
delightedly,2.938,0.688,0.625,2.312,0.812,2.688,1,1.316,2.421,1.895,1,0.23,0.186,0.131,Auditory
delightful,2,1.789,1.737,2.842,1.895,2.579,0.905,1.476,3.667,3.048,1.19,0.086,0.269,0.119,Interoceptive
delightfully,2.737,2.158,1.895,2.632,1.947,3,0.6,1,3.25,2,0.8,0.077,0.346,0.12,Visual
delightfulness,2.688,1,1.375,2.562,0.812,2.625,1,1.105,2.737,2,1.158,0.169,0.217,0.101,Auditory
delighting,1.933,0.867,1,2.8,0.933,2.533,0.2,1.15,3.1,2.3,0.45,0.192,0.403,0.168,Interoceptive
delightsome,2.375,1.938,1.812,3.312,1.875,2.75,0.182,0.5,2,1,0.273,0.107,0.46,0.174,Interoceptive
delineate,0.579,0,0.211,0.579,0.211,1.842,0.545,1.545,2.864,2.182,0.455,0.538,0.317,0.26,Visual
delinquency,1.526,0,0,0.316,0,2.421,0.55,0.95,2.35,1.45,0.55,0.568,0.308,0.239,Visual
delinquent,2.3,0,0.35,0.55,0,2.85,1.05,0.8,2.25,1.45,0.7,0.471,0.248,0.232,Visual
delinquently,2.125,0.125,0.5,1.375,0.188,2.312,0.176,0.294,2.118,0.647,0.176,0.33,0.569,0.218,Visual
delirious,1.95,0,0.1,3.45,0.1,2.6,0.667,0.667,3.476,1.952,0.762,0.421,0.373,0.221,Interoceptive
deliriously,1.941,0.235,0.529,3.588,0.235,2.588,1,1.25,3.5,1.45,1.05,0.368,0.303,0.193,Interoceptive
deliriousness,1.667,0.167,0.556,3.5,0.222,2.222,0.75,0.75,3,1,0.65,0.4,0.382,0.23,Interoceptive
delirium,1.389,0.389,0.333,3.444,0.444,1.556,0.471,0.588,4.294,1.588,0.471,0.412,0.516,0.265,Interoceptive
deliver,1.263,0.105,2.368,0.368,0.368,3.421,3.2,3.4,1.9,1.5,1.95,0.42,0.159,0.167,Visual
deliverable,1,0.3,0.6,0.45,0.35,2.85,2.2,2.55,1.95,1.1,1.75,0.459,0.152,0.169,Visual
deliverance,1.214,0.571,1.071,2.214,0.643,2.286,1.55,1.7,2.2,1.75,1.35,0.214,0.099,0.104,Visual
deliverer,0.75,0.312,0.812,0.75,0.25,3.25,1.952,2.762,3.095,1.714,1.095,0.49,0.188,0.179,Visual
delivery,1.619,0.238,1.238,0.048,0.19,3.143,2.6,2.95,1.85,1.4,1.15,0.478,0.181,0.188,Visual
delivery boy,2.778,0.111,0.778,0.056,0.611,4.389,2,2.05,2.9,1.55,1.15,0.497,0.181,0.236,Visual
deliveryman,2.778,0,0.722,0,0.111,4.111,1.714,2.524,2.714,1.905,1.571,0.532,0.11,0.226,Visual
dell,0.133,0,0.733,0.067,0.133,2.733,0.471,1.059,1.412,0.412,0.412,0.719,0.266,0.361,Visual
delocalize,1.273,0,0.091,0.545,0,3.273,0.5,0.917,2,1.25,0.583,0.632,0.286,0.314,Visual
delouse,0.667,0.083,2.667,0.25,0.417,3.667,0.857,2.429,1.929,0.571,1,0.462,0.274,0.247,Visual
delta,1,0,0.467,0,0.533,3.267,1,1.111,1.833,0.611,0.667,0.62,0.234,0.311,Visual
delude,1.417,0.25,0.333,1.583,0.167,1.833,0.526,1,2.789,1.947,0.368,0.299,0.365,0.215,Visual
deluding,2.364,0.515,0.485,1.788,0.455,2.152,0.158,0.368,2.789,1.368,0.316,0.246,0.526,0.206,Auditory
deludingly,2.474,0.053,0.263,0.789,0.105,2.211,0.158,0.421,2.737,1.526,0.421,0.411,0.49,0.241,Auditory
deluge,1.857,0.214,0.929,0.429,0.286,3.643,1.214,1.143,1.786,0.286,0.857,0.466,0.284,0.271,Visual
delusion,1.389,0.333,0.333,2.389,0.222,1.833,0.15,0.2,3.75,0.95,0.2,0.333,0.686,0.306,Interoceptive
delusional,1.875,0.062,0.5,2.438,0,2.625,0,0,3,0.353,0,0.35,0.895,0.276,Visual
delusionary,2.421,0.158,0.474,1.947,0.105,2.632,0.2,0.65,3.15,1.6,0.45,0.327,0.488,0.221,Visual
delusory,1.636,0.455,1,1.636,0.455,2.273,0.385,0.923,3.462,2.077,0.462,0.244,0.421,0.208,Visual
deluxe,1.5,0.833,1.722,0.5,0.833,3.333,0.652,0.87,1.565,0.652,0.696,0.325,0.206,0.215,Visual
delve,1,0,0.6,1.067,0,2.067,1,1.765,1.824,0.647,0.765,0.437,0.196,0.193,Visual
demagnetization,0,0.214,1.286,0.5,0,2.786,0.333,1.5,1.111,0.222,0.278,0.582,0.371,0.338,Visual
demagnetize,0.138,0,1.241,0.207,0,2.517,0.067,1.667,1.6,0.133,0,0.613,0.481,0.333,Visual
demagnetizer,0.467,0,1.733,0.733,0,2.467,0.312,1.5,1.125,0.375,0.125,0.457,0.4,0.279,Visual
demand,3,0,0.211,0.316,0,1.737,0.368,1.211,2.316,2.842,0.316,0.57,0.358,0.244,Auditory
demandable,2.889,0,0.056,1.056,0,2.611,0.143,0.571,1.571,1.905,0.143,0.437,0.407,0.264,Auditory
demander,2.812,0.25,0.312,1.188,0.188,2.125,0.053,0.053,2.632,2.158,0.158,0.382,0.51,0.231,Auditory
demanding,3.706,0.294,0.529,1.294,0.294,2.176,0.6,1.35,2.45,2.45,0.85,0.411,0.24,0.213,Auditory
demandingly,3.188,0.312,0.812,1.438,0.438,2.062,0.647,1.471,1.882,3.412,0.471,0.348,0.373,0.192,Auditory
demark,0.545,0.091,0.182,0.091,0.273,1.909,0.286,1.143,1.714,0.429,0.214,0.588,0.396,0.264,Visual
dematerialization,0.467,0.133,1,0.667,0,2.6,0.111,0.5,2,0.556,0.333,0.534,0.54,0.311,Visual
dematerialize,1,0,0.75,0.15,0,3.1,0.1,0.55,2.2,0.45,0.45,0.62,0.56,0.354,Visual
demean,2.958,0,0.208,1.667,0.042,2.167,0.143,0.381,1.619,2,0.143,0.42,0.433,0.261,Auditory
demeaning,3.167,0,0.111,1.667,0,2.167,0.05,0.6,3.15,2,0.35,0.445,0.504,0.239,Auditory
demeanor,2.278,0,0.278,1.5,0.111,3.833,1.263,1.316,3.263,1.947,1.474,0.479,0.216,0.222,Visual
demented,2.444,0.111,0.333,1.778,0.167,3.889,0.1,0.2,2.55,0.8,0.1,0.433,0.653,0.304,Visual
dementedly,2.556,0.056,0.111,1.333,0,2.556,1.053,1.263,3.053,2.105,0.684,0.387,0.29,0.207,Auditory
dementedness,1.462,0,0,1.692,0,2.846,0.294,0.412,2.588,1.176,0.176,0.474,0.519,0.267,Visual
dementia,2.85,0.3,0.75,2.95,0.35,3.4,0.15,0.2,3.5,1.15,0.2,0.292,0.644,0.212,Visual
demerit,2.125,0.062,0.438,0.562,0.062,2.438,0.125,0.312,2.438,1.688,0.25,0.418,0.481,0.226,Visual
demigod,1.769,0,0.538,0.846,0.154,2.615,0.316,0.632,2,0.895,0.316,0.442,0.405,0.259,Visual
demilitarization,1.667,0,0.333,0.333,0.111,2.444,0.722,0.944,2.944,0.5,0.667,0.5,0.423,0.276,Visual
demilitarize,1.65,0,0.05,0.25,0,2.55,0.444,0.556,1.889,1.222,0.722,0.567,0.299,0.273,Visual
demilitarized,1.2,0,0.133,0.4,0.067,4,0.85,0.95,1.95,1.25,0.85,0.69,0.188,0.343,Visual
demineralization,0.6,0.5,0.6,0,0.3,2.3,0.417,0.5,0.833,1,0.333,0.535,0.216,0.312,Visual
demise,1.611,0,0.111,0.722,0.333,2.667,0.579,0.684,3.105,1.053,1,0.49,0.393,0.262,Visual
demo,2.5,0.694,1.083,0.667,0.667,3.417,0.526,1.474,2.368,0.895,0.474,0.305,0.33,0.199,Visual
demobilization,1.5,0.556,0.722,1.444,0.222,3.444,1.875,1.438,2.062,1.438,1.062,0.408,0.127,0.204,Visual
demobilize,2,0,0.5,0.5,0,3,2.167,2,1.944,0.889,1.389,0.5,0.152,0.208,Visual
democracy,1.944,0,0.056,1.056,0,2.222,0.35,0.35,2.05,1.35,0.25,0.421,0.414,0.231,Visual
democrat,2.316,0.053,0.158,0.526,0.105,2.474,0.6,0.75,3.75,1.9,0.6,0.43,0.414,0.279,Visual
democratic,1.778,0.056,0.111,1.333,0.056,2.222,0.235,0.353,2.706,2,0.176,0.39,0.462,0.24,Visual
democratically,2.429,0,0,1.5,0,2.571,0.632,0.947,2.263,2.211,0.842,0.396,0.237,0.192,Visual
democratization,1.615,0,0.154,0.769,0,2.769,0.389,0.667,2.667,1.389,0.389,0.522,0.414,0.256,Visual
democratize,2.214,0.357,0,0.357,0,1.714,0.353,0.412,3.353,1.765,0.353,0.477,0.481,0.308,Auditory
demographer,1.769,0,0.692,0,0,2.538,0.067,0.6,1.8,1.133,0.133,0.508,0.464,0.291,Visual
demographic,1.05,0,0,0.5,0,2.6,0.526,1.105,3.316,0.789,0.368,0.627,0.483,0.323,Visual
demographical,1.55,0,0.1,0.05,0,3.7,0.722,1.222,2.333,1.389,0.889,0.685,0.246,0.309,Visual
demographically,1.529,0.059,0.647,1.118,0.412,3.412,0.529,1,2.294,1.471,0.529,0.467,0.303,0.258,Visual
demographics,0.611,0,0,0.056,0.167,3.667,0.421,0.684,2.421,0.842,0.421,0.815,0.418,0.395,Visual
demography,1.938,0.125,0.062,0.938,0.125,3.312,0.389,0.389,1.722,0.222,0.389,0.5,0.482,0.338,Visual
demolish,2.938,0.438,1.625,1.125,0.75,3.875,1.952,3.238,2.571,1.238,1.19,0.32,0.201,0.164,Visual
demolisher,2.643,0,0.786,0.357,0.214,4.429,2.105,3.105,2,1.316,1.842,0.525,0.173,0.236,Visual
demolishment,2.944,0.111,0.722,0.556,0.389,3.778,1.211,1.842,1.105,0.684,1.053,0.431,0.196,0.255,Visual
demolition,3.421,0.053,0.842,0.368,0.474,4.211,1.55,2.75,1.95,0.6,1.15,0.444,0.269,0.239,Visual
demolitionist,2.778,0.111,0.944,0.833,0.5,3.611,0.6,1.4,1.6,0.35,0.4,0.399,0.287,0.267,Visual
demon,1.375,0.188,0.812,0.938,0.312,2.625,0.55,0.6,1.75,0.85,0.6,0.39,0.276,0.23,Visual
demonetize,1.154,0,0.769,0.154,0,1.692,0.25,1.312,2.188,1.375,0.25,0.449,0.36,0.239,Visual
demonic,2.158,0.263,0.579,1.789,0.316,2.842,0.429,0.571,2.381,0.857,0.667,0.325,0.398,0.201,Visual
demonical,2.375,0,0.125,1.875,0.062,2.312,1,1.15,2.65,1.5,1.1,0.352,0.223,0.187,Auditory
demonize,2.632,0.053,0.158,1,0.105,2.158,0.167,0.889,1.944,2.667,0.222,0.422,0.425,0.218,Auditory
demonologist,2.125,0.062,0.375,0.5,0.062,3.188,0.133,0.667,2.667,1.2,0.533,0.495,0.487,0.271,Visual
demonstrability,2,0.357,0.929,1,0.286,3.714,0.944,1.556,2.056,1.722,1.111,0.414,0.15,0.219,Visual
